method,n_bins,entropy
fd,273,4.671743805725985
doane,31,2.523805965284715
scott,299,4.762647663630643
stone,1611,6.445674311227371
rice,280,4.69712628293395
sturges,23,2.242762380622867
sqrt,1650,6.469541288591575
