method,n_bins,entropy
fd,1176,4.939419884574937
doane,34,1.5618929807754371
scott,887,4.6577889039130245
stone,1589,5.240008898228326
rice,280,3.5096917485879637
sturges,23,1.2203224041302292
sqrt,1650,5.277671192046511
