method,n_bins,entropy
fd,220,4.963759089885082
doane,30,3.2543639307923717
scott,180,4.819078781542675
stone,1649,5.662222440579949
rice,280,5.143664896474871
sturges,23,2.9942639908149413
sqrt,1650,5.662222440579949
