entropy,n_range
3.2543639307923717,30
3.5473582113557143,40
3.7617555672075946,50
3.927288053859093,60
4.056225508366327,70
4.17194644334972,80
4.269316411852805,90
4.340091907373526,100
4.427241710164935,110
4.498721786657858,120
4.536446783169376,130
4.618438599025203,140
4.693240761254313,150
4.729261440305219,160
4.794064459354259,170
4.819078781542676,180
4.869960599497784,190
4.8945893278018024,200
4.9208834178823215,210
4.963759089885082,220
4.997473664626184,230
4.998798163179353,240
5.053943681745295,250
5.0595047197099845,260
5.111185438271986,270
5.143664896474872,280
5.146021864925826,290
5.161051986562137,300
5.180522534105782,310
5.193423048484837,320
5.230576679784681,330
5.222413745326206,340
5.280035070254547,350
5.255852579546476,360
5.316041122787388,370
5.253980571561625,380
5.280923361621329,390
5.300277886357913,400
5.315061202635778,410
5.329556425730039,420
5.344156288803514,430
5.36904786933612,440
5.307011286749055,450
5.352360970723982,460
5.378178789270523,470
5.367271083911365,480
5.376846426746646,490
5.4271526239414465,500
5.449156463985114,510
5.4590714056639635,520
5.420805311953153,530
5.453509143070317,540
5.454057958647988,550
5.478529450847432,560
5.446444535366666,570
5.437335042464879,580
5.505101458173096,590
5.41170182287769,600
5.4369454874516165,610
5.4634491239714125,620
5.498718417319536,630
5.467283898448173,640
5.51347626598184,650
5.504774449764864,660
5.511999964866248,670
5.476598655296614,680
5.509338808740489,690
5.522821290449056,700
5.534683916812089,710
5.5180159369854245,720
5.524756258698572,730
5.509457343413581,740
5.542294732419069,750
5.566113725022006,760
5.551974470726011,770
5.562143954579866,780
5.537317510367444,790
5.542633860332499,800
5.564223815660274,810
5.56792400552325,820
5.5530905633622645,830
5.56301084264756,840
5.535345743870263,850
5.5579477750013115,860
5.565458014493414,870
5.564134638127628,880
5.586723777769615,890
5.563617056589925,900
5.5332070549376935,910
5.565706518070936,920
5.57501668624419,930
5.561857813258129,940
5.576512974460287,950
5.577472641881894,960
5.5503149815087385,970
5.551645594417616,980
5.572616508814757,990
5.574918973947673,1000
5.597563741601423,1010
5.598969960232252,1020
5.583948739833136,1030
5.592029479826202,1040
5.590455068837013,1050
5.595798110669996,1060
5.600047334779635,1070
5.586336012852593,1080
5.589236470574478,1090
5.600392801180274,1100
5.609938713000838,1110
5.5854578186331185,1120
5.612677826325573,1130
5.614550334718745,1140
5.601767523506984,1150
5.625655864900988,1160
5.620517022521321,1170
5.624676000539776,1180
5.63458673203205,1190
5.588214287424999,1200
5.598699317384664,1210
5.61387772090808,1220
5.612148984959928,1230
5.604021732296699,1240
5.615585213031179,1250
5.628751141667982,1260
5.635361358444364,1270
5.6255963934573305,1280
5.635882411506365,1290
5.625747445548612,1300
5.626595550508942,1310
5.633101052583347,1320
5.643053452946175,1330
5.639923602202007,1340
5.627319877992164,1350
5.63159084853188,1360
5.63782283295998,1370
5.641062017562312,1380
5.6487645484615,1390
5.6342265417180615,1400
5.6476914404533805,1410
5.648784526125006,1420
5.652818894369242,1430
5.643776323153279,1440
5.650660453306866,1450
5.648365870613295,1460
5.65606422862963,1470
5.651225708959771,1480
5.658418570079589,1490
5.6622224405799475,1500
5.662222440579951,1510
5.662222440579942,1520
5.662222440579953,1530
5.662222440579953,1540
5.6622224405799475,1550
5.662222440579946,1560
5.662222440579948,1570
5.662222440579952,1580
5.662222440579947,1590
5.662222440579948,1600
5.662222440579942,1610
5.662222440579957,1620
5.662222440579947,1630
5.662222440579941,1640
5.6622224405799555,1650
