entropy,n_range
1.3895934330382107,30
1.7026026038076005,40
1.8571879079594473,50
2.051256660828293,60
2.179585818428834,70
2.3017599955923913,80
2.4170394204336234,90
2.5068559587041284,100
2.6004770408065045,110
2.6845209030414465,120
2.758474605261754,130
2.8298781524460503,140
2.897639352933137,150
2.960413321378094,160
3.018839729560356,170
3.074645292424672,180
3.1279085398033573,190
3.178164379697602,200
3.2257676767245402,210
3.2716501726063774,220
3.3152962453036374,230
3.3574139270469514,240
3.3977677583341137,250
3.4364764985454523,260
3.473762058040654,270
3.509691748587965,280
3.544500999737121,290
3.578030715321086,300
3.6104174661074553,310
3.6420941585149276,320
3.6725283617874718,330
3.7021462564335605,340
3.7310537173835914,350
3.7589743576417285,360
3.7863738467259505,370
3.812655203000539,380
3.83863282275418,390
3.8638341115388175,400
3.8883439251967515,410
3.9123290249044005,420
3.9356370889249317,430
3.958553133007571,440
3.9809868749686204,450
4.002859454033234,460
4.024309676516695,470
4.045119981666547,480
4.065704682840909,490
4.085952537204497,500
4.105608913288416,510
4.124991061715288,520
4.144061489933111,530
4.162657112082704,540
4.18089094325185,550
4.198870918425147,560
4.2165241956025525,570
4.233923640367543,580
4.250867332707477,590
4.267708133095221,600
4.28417735530011,610
4.300279185690434,620
4.316340625479665,630
4.332025875809413,640
4.347595472926368,650
4.362779739809087,660
4.377762058106845,670
4.392490314622663,680
4.4070976391889465,690
4.421435544879089,700
4.435604570260175,710
4.449561330345884,720
4.463376983955825,730
4.476935964191127,740
4.4903346513231215,750
4.503415006937348,760
4.516555435084552,770
4.529465700203754,780
4.542123157789138,790
4.554753057389296,800
4.567120576660839,810
4.579383858567318,820
4.591516722328529,830
4.603442821415063,840
4.615175969241992,850
4.626922899380702,860
4.638426660896458,870
4.64989641008447,880
4.661161944573586,890
4.672281789837554,900
4.683405618352068,910
4.694263414612292,920
4.7050396043428,930
4.715722098810487,940
4.726233017553899,950
4.736684922536481,960
4.7471113668122955,970
4.757352983475955,980
4.767484189293894,990
4.77752499817327,1000
4.787421190435217,1010
4.797267961714565,1020
4.807024019025158,1030
4.816703859671519,1040
4.826220963271274,1050
4.835690774198108,1060
4.845079025386333,1070
4.854410388690705,1080
4.86356055821175,1090
4.8726309913796095,1100
4.8817526328338445,1110
4.890714231775902,1120
4.899617882276159,1130
4.9084295232388,1140
4.917114898604701,1150
4.925739575313986,1160
4.934319903924753,1170
4.942799971462612,1180
4.951240235919276,1190
4.9595988048720825,1200
4.967882954039533,1210
4.976143816693433,1220
4.984304610875674,1230
4.9923218864077725,1240
5.000397799292241,1250
5.008333760729133,1260
5.016206964275739,1270
5.024032079793943,1280
5.031798681304838,1290
5.039579598117534,1300
5.047201961804393,1310
5.054808276609709,1320
5.062340644707072,1330
5.069783481267522,1340
5.077218126968023,1350
5.084616582499818,1360
5.091926259819703,1370
5.099184392539707,1380
5.106393335382505,1390
5.11357549453001,1400
5.120638610073918,1410
5.127698598081571,1420
5.134728988289589,1430
5.141690012202111,1440
5.148584913378359,1450
5.155456485223916,1460
5.162303230171096,1470
5.169058319557553,1480
5.175829437795112,1490
5.182501326544696,1500
5.189116885289785,1510
5.195676885928301,1520
5.2022629997736,1530
5.208756547038473,1540
5.2152061922017365,1550
5.221634206949235,1560
5.2280053932312045,1570
5.234331235606221,1580
5.2406302047746784,1590
5.246928278819418,1600
5.253154158294166,1610
5.259364058684718,1620
5.265494858682189,1630
5.271608009591982,1640
5.27767119204651,1650
