C1_mean,area,max_F_C2,min_F_C2,std_F_C2,mean_F_C2,Entropy_F_C2,max_F_C3,min_F_C3,std_F_C3,mean_F_C3,Entropy_F_C3,Number_cells,Time_interval,Time_Stamp
18155.168154761905,672,951,695,44.19274813820319,825.171130952381,9.390247382221371,353,221,20.847920435286795,287.5639880952381,9.388525360404667,46,1,20230404-152708
14342.993315508022,748,812,529,43.18605929405521,690.1978609625669,9.544052836646737,329,199,18.951555726112105,257.831550802139,9.543006254242876,46,1,20230404-152708
15660.607407407408,540,1375,459,179.33274010488262,935.5592592592592,9.05051200439278,524,216,65.23348284394002,349.5444444444444,9.05220564526219,46,1,20230404-152708
17528.67076923077,1300,619,377,40.729817843178,487.98,10.339278848257104,281,170,17.478353052956304,222.44230769230768,10.339834569263823,46,1,20230404-152708
16419.23197492163,957,908,601,45.32894948389124,749.3281086729363,9.899743323451522,341,202,20.14664255644369,273.6081504702194,9.8984627909403,46,1,20230404-152708
17861.70303030303,660,668,377,44.295579602935135,500.6560606060606,9.360696778805432,292,166,18.802302564482744,225.6530303030303,9.36131255785908,46,1,20230404-152708
17145.759469696968,528,726,419,51.5481935032017,557.1363636363636,9.03823102878926,306,170,20.572634622504363,238.2746212121212,9.0389960998505,46,1,20230404-152708
17687.662202380954,672,958,651,49.43884617438419,797.8035714285714,9.389553649018946,356,229,20.60595255074775,285.1235119047619,9.388558146990588,46,1,20230404-152708
17379.736936936937,1110,942,634,52.01500332963743,779.072072072072,10.11313611303181,356,213,21.46200257621848,280.5036036036036,10.112123982817735,46,1,20230404-152708
14287.326923076924,1716,812,529,42.79368210566971,688.0174825174826,10.742026723751565,329,187,18.53262837957504,257.2628205128205,10.741095542396556,46,1,20230404-152708
13072.78088861838,1643,789,520,40.269263046646486,659.3962264150944,10.67941496417133,310,189,18.782190546382044,248.6950699939136,10.677999582451278,59,2,20230404-154709
15775.55128205128,936,668,363,53.84051693463245,504.2735042735043,9.86218401605362,303,150,19.51007400690132,223.11858974358967,9.86486685814426,59,2,20230404-154709
15761.520329387546,1943,693,337,58.45386534562065,495.022130725682,10.914084752800926,303,150,19.484224659063702,222.0334534225425,10.918527235114672,59,2,20230404-154709
15074.57142857143,728,861,588,42.33711371743421,705.2967032967033,9.505197476435606,328,205,19.06624080373644,255.64972527472528,9.503796521405471,59,2,20230404-154709
15936.012544802868,1674,611,337,48.320541218344815,460.9277180406213,10.70118194453486,279,158,17.950065874605365,215.05495818399044,10.704057590801046,59,2,20230404-154709
13097.243034055728,646,796,535,41.29249561130892,652.2213622291022,9.332490953181384,310,183,19.02141861407509,248.42724458204336,9.3311527052454,59,2,20230404-154709
13124.3448,1250,789,497,44.49252261852546,657.0152,10.284380919627107,303,183,18.605338691891635,248.5904,10.28366292442042,59,2,20230404-154709
13105.046865489958,1643,789,520,42.83701291731555,658.1211199026171,10.679040091126373,310,189,18.539374348477686,248.5483870967742,10.678103105631124,59,2,20230404-154709
13136.141233766231,1232,789,575,35.394590082155574,671.8181818181819,10.264786956451925,306,189,18.42752016140524,250.33522727272728,10.262874890882674,59,2,20230404-154709
16043.816666666668,660,869,622,43.79945333025727,736.869696969697,9.363770387441471,329,213,20.004696188773835,262.3969696969697,9.362132601751185,59,2,20230404-154709
15709.147368421052,760,508,312,30.11882029925536,408.00921052631577,9.565923622710576,243,156,15.488880774012658,200.625,9.565542607136273,59,2,20230404-154709
15788.070666666668,750,861,622,43.84545310773082,729.2586666666666,9.548138637028554,329,212,19.8142530069196,261.02666666666664,9.546596869162164,59,2,20230404-154709
16132.348011363636,704,896,621,45.07871902673044,765.25,9.456924649315738,324,215,19.340013566224187,268.09659090909093,9.455678368881951,59,2,20230404-154709
14579.087142857144,700,693,338,56.19528767737431,467.25,9.440863866749767,282,148,19.08872174764941,217.73142857142847,9.445668467767607,66,3,20230404-160708
11986.752012882447,621,738,548,34.147082592845464,648.7745571658616,9.276445513675364,299,178,17.329202056153893,247.4830917874396,9.2749184102866,66,3,20230404-160708
11952.401578947369,1900,741,510,37.63594089920459,637.93,10.889264137613775,307,178,18.080768459571697,244.49526315789475,10.887842387027796,66,3,20230404-160708
14394.740714285714,1400,553,312,42.91113013293538,422.075,10.443782895917924,267,145,17.858863788503637,208.12642857142856,10.445893656992132,66,3,20230404-160708
14308.66573971079,1798,638,346,56.599169108795735,464.9460511679644,10.801563372861953,295,156,19.59382697044193,217.674638487208,10.80634041459891,66,3,20230404-160708
14501.180303030304,660,524,336,31.57146262158464,421.19545454545454,9.362255957146832,258,164,15.973849152577824,205.8909090909091,9.361988048565996,66,3,20230404-160708
14299.92216117216,1092,651,348,54.45761401211692,474.9249084249085,10.083312244692657,295,156,19.22099828086776,220.03205128205127,10.087255926208172,66,3,20230404-160708
14244.048850574713,696,651,367,53.0492646761107,482.30028735632186,9.43423467923025,295,160,19.880021817293635,222.06752873563207,9.4371585076466,66,3,20230404-160708
14563.198924731185,558,643,322,56.32111106114637,457.6182795698925,9.113271298265008,278,154,18.818357107544703,215.01612903225808,9.118596314927686,66,3,20230404-160708
14369.179069767442,1720,850,544,50.82029314598139,698.4156976744187,10.74436879565916,337,200,20.75401265716381,256.94069767441863,10.743506497443867,66,3,20230404-160708
14646.477272727272,704,609,340,44.86812489059852,456.3522727272728,9.452480996860531,263,158,18.05576996276309,214.68607954545453,9.454315634711254,66,3,20230404-160708
14313.588624338625,756,469,306,27.867222929682164,387.0806878306879,9.558503859948082,257,149,15.146573227567313,198.3822751322752,9.558013491818794,66,3,20230404-160708
